"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"174","TON","0.58674261",1.97404006,3.324475015,2.977382955,3.55347215,2.39980862,2.958045265,1.6371834,3.301970515,4.04136062,0.839848945,1.283719955
"175","TTO","0.555125419",1.64374963,1.255880945,2.18651114,2.92454839,2.485275355,1.880652545,1.178051225,1.196110735,1.54719608,1.09722037,2.11322071
"176","TUN","0.593542747",2.402228055,2.69945233,2.10462284,2.549528125,2.39291348,1.58775758,0.999447265,1.53070657,1.71893292,1.62327529,3.084675765
"177","TUR","0.570514567",1.83205534,2.744418,2.163094785,1.89969096,2.384282495,1.42626502,0.91415166,1.41633101,1.0902712,2.16182544,1.769986
"178","TKM","",3.073041075,2.40388236,2.45266643,2.575102715,1.319937765,1.67134431,1.075344985,0.839086985,2.617523445,0.9439333,4.69315816
"179","TUV","",2.24227224,4.520913845,3.287199295,2.397049945,2.74707577,3.70450351,1.535772955,4.52700762,3.81402772,0.905874965,0.15107754
"180","UGA","0.425679087",3.63648775,2.66474078,2.55939273,3.669334695,1.871121765,2.771912315,3.450372835,2.5,2.929952615,0.714429635,2.36197224
"181","UKR","0.353206074",2.01219788,2.80196428,2.098061325,1.60256475,1.857809295,1.492985705,0.31403629,1.04766347,1.584854565,2.97985133,2.691296335
"182","ARE","0.681271973",2.074700435,1.51109699,2.663158255,2.79215112,3.269050575,1.26906934,0.861705705,1.181034735,1.5862874,1.43547792,3.33904955
"183","GBR","0.797880426",1.21502351,1.0829207,1.689759265,1.07908882,3.87863842,1.29342456,0.26323953,1.247676655,0.73114445,3.91962342,1.65201899
"184","USA","0.855097313",1.177295005,2.00431229,2.141616295,1.77030372,3.707310785,1.246586805,0.145379655,1.01063793,0.89296709,3.84898143,1.43743298
"185","URY","0.49913177",1.75506277,2.69903211,2.113680805,1.536312065,3.24917398,2.736517375,0.75507128,1.509676695,1.855619325,2.18792478,1.504628155
"186","UZB","0.357452425",1.90606248,3.234555815,2.25445973,2.11614074,1.257868565,1.80388439,0.23540209,0.4824093,2.55428765,1.128179795,4.010195955
"187","VUT","0.575218791",2.897524465,3.013145915,2.58572124,3.827869115,2.86016185,3.05512114,2.358591005,3.207326555,3.331481965,0.412012465,1.57630369
"188","VEN","0.281873067",1.802152115,1.76904653,2.28335576,2.53105507,1.158421155,2.212786975,1.31608308,0.97716352,1.1642372,2.034310145,1.693354965
"189","VNM","0.510371045",2.450958515,3.29743033,2.49995164,2.25756132,2.139551325,1.76700721,1.5463541,2.29844248,2.017822205,1.432497035,2.770669285
"190","YEM","0.445280159",4.25813583,3.849842475,2.99028305,4.075989685,1.263543945,3.068983755,2.688827535,1.70818791,2.622766935,1.058523105,4.158847345
"191","ZMB","0.502736848",3.095251295,2.4342591,3.06740208,3.27642109,2.223901035,3.050224515,3.267970325,2.065469015,2.1745786,0.4940839,2.091031415
"192","ZWE","0.374893513",3.123233675,2.656374365,2.6711947,3.368813205,0.995407905,2.71996282,2.419805225,1.83033216,2.42682854,0.355415175,1.96063765
