"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"74",2011,36.41626014,59.5,24.60000038,65.09999847,73.45679012,20.39999962,72.19999695,8.6,0.337080842,76511,47808.62349,5.026450157,64.80000305,65,17.79999924,20.5,46.00524484,4.199999809,4,4.099999905
"75",2012,37.26830139,59.5,24.60000038,64.40000153,73.54758823,19.70000076,72.69999695,8.6,0.455937472,76238,47951.55678,5.134590149,64.40000153,65.40000153,18.79999924,20.89999962,46.1817868,4.300000191,4.300000191,4.300000191
"76",2013,37.4991815,59.40000153,24.70000076,64.19999695,73.5148506,18.79999924,73,8.6,0.584103986,76133,47825.43384,5.256669998,63.90000153,65.09999847,20,21.5,46.00856726,4.900000095,4.900000095,4.900000095
"77",2014,22.7987527735824,59.40000153,50.1638102397219,79.0698866295643,73.69727376,5.97813481825854,93.9517151763864,9.9,0.730867277,-1977400.04982913,47644.98568,2.47102467256194,51.70000076,55.59999847,31.79999924,31.29999924,46.00499154,5,4.900000095,5
"78",2015,28.0264159844752,28.4548826531527,34.7195483902809,77.0269696932789,48.7281923240013,32.3876653981219,65.8357974900563,9.9,0.810525812,76474,47667.80561,5.40543316894747,34.2628668311462,30.6691238529511,9.38897344282694,16.4146045419323,35.9895815614715,2.69752734416493,-0.0113379572838967,1.31178734644475
"79",1990,24.1692646426524,72.69999695,38.5436162643478,67.9625435810435,85.73112539,11.433770505881,87.4384094966655,21.3,1.493593109,380221,36487.94814,6.53853616870378,42.6204498812883,49.6338061834657,23.7943562407517,24.046738189538,44.08151071,2.01285496225241,2.62279994790763,2.72885888388221
"80",1991,38.7593107437278,72.59999847,27.9025289189984,67.9007842149894,85.61320267,-5.7053019857609,103.586883736045,30.2562383037379,1.360506174,386084,35229.74845,3.59528197172669,46.583965139388,48.2875758188901,39.116273379996,28.6848296797467,44.43235848,9.699999809,10.80000019,10.30000019
"81",1992,31.7517627186024,72.5,46.0785881873775,72.2828094035214,85.49527994,21.4180275542186,73.7345296891759,37.2193116822917,1.2274176,393728,35107.25071,7.34295382526987,50.6192378253154,57.9786891243583,41.7095656547464,26.0472926879762,44.66762203,10.19999981,12,11.19999981
"82",1993,26.039632094588,72.40000153,37.3787751991373,73.7806664159443,85.37735722,-7.67822514742035,106.473267428536,20.7502491782863,1.094331921,400365,35647.19015,2.29620143814709,54.5475833544084,56.7176609792832,37.2877611088356,31.5768121976643,44.73836218,10.69999981,12,11.39999962
"83",1994,23.5397251156367,72.30000305,54.8801528632477,79.8876213500311,85.25943449,-8.08216769789781,106.742435420506,13.7047441601465,0.961244717,402196,36892.64905,3.68284358700543,33.29999924,29.10000038,47.09999847,45.40000153,44.73428667,9.800000191,10.89999962,10.39999962
"84",1995,23.6568706112926,72.19999695,56.0126272376861,81.257772101163,85.24203016,-5.10524108020186,103.022015401814,26.2760305604316,0.828159179,396803,37568.111,2.83657553132956,32.79999924,29.39999962,48.40000153,46.40000153,44.93973748,9.100000381,9.800000191,9.5
"85",1996,26.6488364367328,72,47.2816375302486,73.2104276507888,85.20710059,-8.1230660382475,104.943065386987,16.5705165195718,1.077164681,382575,37764.36812,5.37855609144039,33.09999847,29.60000038,49.5,46.90000153,45.07675063,9.199999809,9.899999619,9.600000381
"86",1997,42.8536757926182,71.69999695,49.124157521589,74.1954940356504,85.05337408,-1.11404767508544,98.4210809988312,30.0297294825688,1.057015395,361136,38966.54534,5.63803579826652,31.70000076,28.79999924,51.09999847,49.29999924,45.16335161,8.899999619,9.300000191,9.100000381
"87",1998,24.6340105613132,71.40000153,33.8275018383479,68.9101855230211,85.00000182,-3.05995693195693,101.338061638043,21.8,0.865613663,337256,40130.25203,4.6950267732175,40.79999924,43.59999847,42.5,34.90000153,45.40945752,8,8.5,8.300000191
"88",1999,35.8032663585231,71.09999847,34.3711719148336,64.6866258841661,85.04784662,18.8742549039867,78.33981208323,21.8,0.827369318,317618,41854.5335,5.14786005,40.59999847,43.59999847,43.29999924,35.29999924,45.50277031,7.300000191,7.800000191,7.599999905
"89",2000,28.0316298678211,70.69999695,44.7569001612357,80.8473855259227,85.0782169,-5.86096887452503,102.956072710221,21.8,0.882998577,306866,43636.70668,5.038740158,40.59999847,44.29999924,43.79999924,35.70000076,45.73589824,6.699999809,6.900000095,6.800000191
"90",2001,26.0115752043323,69.90000153,46.9103499000716,80.2064301453073,84.83009737,-7.84828726765425,106.739688354461,21.8,1.009521666,306966,43963.36631,4.579329967,39.70000076,43.79999924,45.5,37.09999847,45.88390722,6.800000191,7.5,7.199999809
"91",2002,23.3307398712412,69,35.2578351323725,71.6616319761447,84.45532751,7.43280278468723,88.537327235603,21.8,0.897131277,316065,44882.20692,4.654900074,39.59999847,43.59999847,46.20000076,37.59999847,46.09220851,7.099999905,8.199999809,7.699999809
"92",2003,22.7401229492935,68.19999695,33.2960736956083,77.2228203071182,84.30160156,3.46144681709466,96.1018027464148,20.2,0.996232739,330327,45238.17706,1.85741193364817,39.29999924,43.5,47,38.70000076,46.35732221,7.199999809,8,7.599999905
"93",2004,24.1462309066209,67.30000305,34.2257346309815,79.3309118299154,83.91521897,4.26441277207471,94.4188690288375,20.2,1.002034424,344035,46169.25222,3.00615249389347,39.5,44.20000076,47.29999924,38.5,46.41936695,6.900000095,7.5,7.199999809
"94",2005,16.75245475,66.5,29.3630370348483,74.5000058295975,83.64779874,-6.81225090967295,105.950273630488,20.3,0.985903767,353084,47179.85791,4.552800179,38.40000153,43.70000076,49.29999924,39.70000076,46.45392353,6.400000095,7,6.699999809
"95",2006,29.6275783923347,65.80000305,39.7329336754892,75.0388502560287,83.2911431,3.66204019821773,92.4120115445913,20.3,0.796844597,356258,48033.30048,5.59625316233684,37.09999847,43,50.29999924,40.79999924,46.66884438,6.099999905,6.5,6.300000191
"96",2007,31.3033113822487,65.19999695,47.5844234654766,86.9074160099903,82.95165167,-6.67814033348765,104.311342340032,20.6,0.969853611,354977,48550.94241,4.490069866,36.59999847,43.09999847,51.59999847,41.29999924,46.83733822,5.599999905,6.400000095,6
"97",2008,31.8159533100592,64.59999847,54.5893426158398,83.9548834461363,82.50318768,-8.05606294200378,106.814168164301,21.3,1.082197086,350938,48508.81528,4.528900146,36.59999847,43.09999847,51.90000153,41.59999847,46.83697157,5.599999905,6.5,6.099999905
"98",2009,32.9848664966277,64.09999847,27.6483790058466,62.1064943162168,82.28497717,11.0602367173249,85.7974378307282,21.3,1.144840183,346858,46542.11076,4.595530033,36.20000076,43.09999847,53.09999847,42.29999924,47.02642854,7,9.5,8.300000191
"99",2010,31.829364410334,63.5,35.5121371898741,61.4783427594858,81.82989852,15.0217192524075,83.5123680915017,21.3,1.113959721,344717,47445.76193,5.015729904,35.70000076,43,54.29999924,43.09999847,47.08563422,7.199999809,8.699999809,8
"100",2011,21.8885183072356,63.70000076,39.7646376019078,75.5005922273482,81.87660445,8.13427590745861,90.633241206103,21.3,0.987617711,344860,48455.21402,4.909520149,35,43,55.40000153,43.70000076,47.14629689,7,7.800000191,7.400000095
"101",2012,22.8523562411903,63.79999924,37.5131708557232,74.933808597766,81.69014146,-2.45286691780389,101.183365743087,21.3,1.183023858,346550,48721.1803,3.53135667339783,33.70000076,42.29999924,57.20000076,44.59999847,47.13905711,6.800000191,7.599999905,7.199999809
"102",2013,30.5927033766188,63.90000153,55.1727275028404,82.2979860979518,81.60919417,-8.07962443961424,104.909339613842,23.4,1.15590039,349416,49229.50377,8.00164952646605,33.59999847,42.5,57.70000076,45,47.20848469,6.599999905,7.5,7.099999905
"103",2014,28.213844579376,64,56.8527706550398,72.1663822509364,81.63265147,5.25039188013517,91.9133851167083,23.4,1.098069388,-7162158.21220409,49895.98485,6.67559185032422,33.40000153,42.5,58.20000076,45.5,47.12164915,6.5,7.300000191,6.900000095
"104",2015,31.7153894276149,66.2061221002736,42.5906820663514,83.7911525907679,84.0735840553963,-1.30649104729851,97.8847795928461,23.6,0.863130607,356131,50000.55965,11.2437423988103,49.9235156341056,57.8340182346908,51.7254091378295,40.6863628765461,50.9308330746902,13.9410464835773,13.748773190348,14.0418172456688
"105",1990,33.57790046,57.90000153,26.70000076,69.90000153,76.18421253,4.34895421653765,92.19999695,13.3,1.738052341,3325329,7909.81137,8.64922764010361,33.1434770223239,40.8234712329733,26.1026119257342,16.6688776501782,35.23695425,2.68394428353724,7.9001882660589,5.64009744779828
"106",1991,33.10436547,57.90000153,27.89999962,69.30000305,77.20000203,4.80991968907159,92.19999695,34.2979577573193,1.664150397,3281839,7896.887103,5.8150989031278,29.8984956945789,38.3023050341034,29.9586426188445,17.2080933126611,37.25316441,9.600000381,5.300000191,6.900000095
"107",1992,34.34589891,57.29999924,28.20000076,69,77.74762769,5.92030299529782,91.69999695,6.81408516156314,1.59730289,3268140,7735.464615,1.95021238690616,16.60000038,12.39999962,7.400000095,5.300000191,39.21166287,8,5.400000095,6.400000095
