Time,"Country Name","Adult literacy rate, population 15+ years, both sexes (%)","Educational attainment, competed at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Energy use (kg of oil equivalent per capita)","Fossil fuel energy consumption (% of total)","Renewable energy consumption (% of total final energy consumption)","Terrestrial and marine protected areas (% of total territorial area)","Total greenhouse gas emissions (kt of CO2 equivalent)","GDP, PPP (constant 2011 international $)","Employment in agriculture (% of total employment)","Employment in industry (% of total employment)"
2013,"Dominican Republic","90.8581466674805","","731.313162555168","86.3895243591208","","","","122657312193.257","14.1999998092651","16.7000007629395"
2013,"Ecuador","93.2946319580078","13.71372","979.754761286922","89.7671276755552","","","","166412229117.209","25.2999992370605","20.3999996185303"
2013,"Egypt, Arab Rep.","75.0607299804688","","884.992233367878","96.3498690422943","","","","880522789267.021","28","24.1000003814697"
2013,"El Salvador","86.767578125","6.05945","693.443491934832","45.7507108986782","","","","47729359130.2793","19.6000003814697","20.3999996185303"
2013,"Equatorial Guinea","","","","","","","","27286793317.5637","",""
2013,"Eritrea","","","","21.7664802600659","","","","","",""
2013,"Estonia","","","4623.27911216793","17.1986297458196","","","","33970986410.5824","4.30000019073486","30.7999992370605"
2013,"Ethiopia","","","506.975299723322","5.6396306454318","","","","125797887490.473","72.6999969482422","7.40000009536743"
2013,"Faroe Islands","","","","","","","","","",""
2013,"Fiji","","","","","","","","6953080472.24754","",""
2013,"Finland","","21.89092","6074.74978727598","42.2785424411101","","","","212171530961.345","3.79999995231628","22.8999996185303"
2013,"France","","","3839.85699287382","48.3515270585841","","","","2457474628064.78","3","21.2999992370605"
2013,"French Polynesia","","","","","","","","","",""
2013,"Gabon","","","1434.91354263426","43.4144767707257","","","","29989972997.37","",""
2013,"Gambia, The","","","","","","","","2973283849.90826","",""
2013,"Georgia","","","1032.14618644068","68.9344955488092","","","","31167144420.4853","",""
2013,"Germany","","","3867.62236010767","81.1003353312107","","","","3471438215543.19","1.29999995231628","28"
2013,"Ghana","","","343.612771720021","52.6973839858436","","","","100308950459.436","44.7000007629395","14.3999996185303"
2013,"Gibraltar","","","5795.71248423707","100","","","","","",""
2013,"Greece","","","2134.10439616711","88.0060792520631","","","","265331443378.858","13.3000001907349","15.6999998092651"
2013,"Greenland","","","","","","","","","",""
2013,"Grenada","","","","","","","","1192821166.81768","",""
2013,"Guam","","","","","","","","","",""
2013,"Guatemala","77.0386734008789","2.37244","767.647435027662","32.6537067630652","","","","109252019647.802","32.7000007629395","17.1000003814697"
2013,"Guinea","","","","","","","","14245600355.981","",""
2013,"Guinea-Bissau","","","","","","","","2346686714.59781","",""
2013,"Guyana","","","","","","","","5066308147.15104","",""
2013,"Haiti","","","393.159150931974","18.6839711192568","","","","16999370973.5332","",""
2013,"Honduras","85.4644165039063","","662.435586227597","51.351342514736","","","","36168591807.1898","35.7999992370605","18.7999992370605"
2013,"Hong Kong SAR, China","","","1938.36076521739","93.6986648261035","","","","371276418058.089","","11.6999998092651"
2013,"Hungary","","19.42598","2280.38512164359","69.0278389171082","","","","225773783387.699","4.69999980926514","30"
2013,"Iceland","","","18177.2525666844","10.4047142463901","","","","13266285045.9254","4.19999980926514","18.7000007629395"
2013,"India","","","606.053815878544","72.4439630435511","","","","6512112782948.34","49.7000007629395","21.5"
2013,"Indonesia","","","850.248918808994","65.928218786899","","","","2430416378087.99","34.7999992370605","20.3999996185303"
2013,"Iran, Islamic Rep.","84.6268005371094","16.32008","2960.38476810424","98.8649437287957","","","","1236225507334.8","",""
2013,"Iraq","","","1466.60823940494","97.3300264778735","","","","510895507236.37","",""
2013,"Ireland","","","2840.19682082094","86.2852084906195","","","","212357025505.993","6","18.3999996185303"
2013,"Isle of Man","","","","","","","","","",""
2013,"Israel","","31.3937","2970.78789006762","96.7755256062664","","","","252407925698.306","1.20000004768372","17.7000007629395"
2013,"Italy","","","2579.47667650807","79.9643666959332","","","","2033752116207.81","3.40000009536743","27.2000007629395"
2013,"Jamaica","","","1083.62419138392","82.5402550446496","","","","22884502845.9585","18.2000007629395","15.1999998092651"
2013,"Japan","","","3570.4368119394","94.5725461861699","","","","4525682861285.66","3.70000004768372","25.7999992370605"
2013,"Jordan","","","1071.04406589093","97.6182683884871","","","","73674613032.6082","2","18.1000003814697"
2013,"Kazakhstan","","","4786.67030617351","99.1926577444612","","","","405555431070.076","24.2000007629395","19.7999992370605"
2013,"Kenya","","","491.745348630135","18.1325352485605","","","","120048350544.561","",""
2013,"Kiribati","","","","","","","","183852809.232707","",""
2013,"Korea, Dem. People’s Rep.","","","580.561064649505","84.2989129882035","","","","","",""
2013,"Korea, Rep.","","","5253.47154319157","84.1647175339902","","","","1641395685771.39","6.09999990463257","24.3999996185303"
2013,"Kosovo","","","1296.69597721159","90.2107913104522","","","","15660777512.8179","",""
2013,"Kuwait","95.585823059082","8.7118","9757.44868295504","99.9999971481726","","","","266584630667.396","",""
2013,"Kyrgyz Republic","","","690.401251835793","72.2007769918044","","","","17848252275.5774","31.7000007629395","20.2000007629395"
2013,"Lao PDR","","","","","","","","31582838713.2962","",""
2013,"Latvia","","27.79106","2159.23756128124","58.982719569753","","","","42927158324.4002","7.80000019073486","24.2000007629395"
2013,"Lebanon","","","1337.17105574249","95.7807573543661","","","","74260979651.194","",""
2013,"Lesotho","","","","","","","","5122459831.87741","",""
2013,"Liberia","","","","","","","","3508712338.29124","",""
2013,"Libya","","","2711.30039050512","98.9771365226138","","","","122544222995.715","",""
2013,"Liechtenstein","","","","","","","","","",""
2013,"Lithuania","","26.38527","2356.64500222978","70.0223364446159","","","","73389492002.331","8.39999961853027","25.6000003814697"
