"","Time","Country.Name","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total"
"381",3,"San Marino",-318495181892.709,23.5872102226201,37.6719976518274,-704853.470291324,50.2355443810629,43.1921090314231,595.633009663456,1.29730550164292,30938
"382",3,"Sao Tome and Principe",495976459.900483,19.5694471597396,34.2654572140029,190.736300569879,43.2151403088971,65.1523496962372,1066.72583987842,0.587909256438739,174646
"383",3,"Saudi Arabia",1366703554588.84,22.5,4.30000019073486,514967.262649612,0.0091158129498066,99.9962295586189,6187.28886923285,17.3934011286059,28788438
"384",3,"Senegal",28838075191.298,18.1000003814697,46.0999984741211,53810.0458870121,49.5687010035022,47.4972165002072,303.731533188995,0.626494880625541,13357003
"385",3,"Serbia",90946336647.8345,26.7999992370605,21.2000007629395,47980.4788956472,17.6721510567346,89.1290170962917,2236.08786664379,6.80012880664199,7234099
"386",3,"Seychelles",1972370136.58509,17.8999996185303,3.59999990463257,883.831427003904,0.50794234205294,82.8219101147134,2614.90095169586,6.83570636200409,87441
"387",3,"Sierra Leone",8360278063.01951,17.2532730041657,68.9589479913707,11731.1661612871,80.3459806067674,26.9313479989756,-1829.35234499294,0.152044167890243,5908908
"388",3,"Singapore",388311014282.003,19.6000003814697,-25.5169164207171,54413.5540095278,0.490260318241548,97.7014503745766,5069.17179429009,7.3938639825545,5183688
"389",3,"Sint Maarten (Dutch part)",1214600998.53945,28.0747445581457,-15.4233973728628,751658.944598571,41.3482757037648,29.7517008905216,1917.8481863047,3.28172831785742,33435
"390",3,"Slovak Republic",135863579993.327,37.5999984741211,3.09999990463257,48551.7499855841,10.3575514619004,68.5113631680676,3213.94976718959,6.39539628896351,5398384
"391",3,"Slovenia",58533687214.7387,32.0999984741211,6.90000009536743,21513.476468893,17.7199138016331,65.3428486233426,3545.0397327024,7.40065411724131,2052843
"392",3,"Solomon Islands",1062611217.02648,12.4242423888605,53.3122824275432,4536.57738178344,67.1849977781873,27.8717753563551,914.976148152718,0.368304169270601,537648
"393",3,"Somalia",842648073175.327,13.1519963948862,33.7584045042127,21690.2656830673,94.195268793019,-0.124564122185021,288.516577945853,0.0587068801132291,9806670
"394",3,"South Africa",633638364273.928,24.2999992370605,4.59999990463257,451483.820825423,17.1091514799534,87.1672856009835,2767.85645052264,9.21509670289159,51549958
